que,op1,op2,op3,op4,answer
What does PHP stand for?,Personal Home Page,Hypertext Preprocessor,Pretext Hypertext Processor,Preprocessor Home Page,Personal Home Page
Who is the father of PHP?,Rasmus Lerdorf,Willam Makepiece,Drek Kolkevi,List Barely,Willam Makepiece
What does PHP stand for?,Personal Home Page,Hypertext Preprocessor,Pretext Hypertext Processor,Preprocessor Home Page,Pretext Hypertext Processor
Who is the father of PHP?,Rasmus Lerdorf,Willam Makepiece,Drek Kolkevi,List Barely,List Barely
What does PHP stand for?,Personal Home Page,Hypertext Preprocessor,Pretext Hypertext Processor,Preprocessor Home Page,Personal Home Page
Who is the father of PHP?,Rasmus Lerdorf,Willam Makepiece,Drek Kolkevi,List Barely,Willam Makepiece
What does PHP stand for?,Personal Home Page,Hypertext Preprocessor,Pretext Hypertext Processor,Preprocessor Home Page,Pretext Hypertext Processor
Who is the father of PHP?,Rasmus Lerdorf,Willam Makepiece,Drek Kolkevi,List Barely,List Barely
What does PHP stand for?,Personal Home Page,Hypertext Preprocessor,Pretext Hypertext Processor,Preprocessor Home Page,Personal Home Page
Who is the father of PHP?,Rasmus Lerdorf,Willam Makepiece,Drek Kolkevi,List Barely,Willam Makepiece
What does PHP stand for?,Personal Home Page,Hypertext Preprocessor,Pretext Hypertext Processor,Preprocessor Home Page,Pretext Hypertext Processor
Who is the father of PHP?,Rasmus Lerdorf,Willam Makepiece,Drek Kolkevi,List Barely,List Barely
